name,catid,rid,manufacturingDate,rating,quantity,price
wonder,1,17671,2022-09-15,1,21101,12643
how,13,11368,2023-08-24,3,9707,21498
market,1,26695,2022-06-07,5,24431,9729
Congress,7,22250,2024-08-15,4,13776,27506
animal,15,8952,2021-12-20,4,23443,10245
yes,11,10789,2023-01-12,5,28716,16115
speech,8,18709,2020-11-04,2,14804,13504
hot,1,9472,2023-03-14,5,28886,9135
memory,16,4843,2020-06-13,2,36449,21020
event,15,4321,2021-05-08,4,22688,19265
far,8,24072,2023-12-31,1,17748,20340
throughout,12,901,2022-09-16,3,29826,3098
mother,2,18061,2021-12-29,0,28222,25376
he,16,27048,2023-06-07,0,42368,6900
series,12,9457,2021-09-21,0,49566,18565
trip,3,13242,2024-04-22,5,47055,14531
executive,6,21659,2022-09-20,2,24164,22394
well,14,16756,2021-03-08,3,14559,26537
fall,13,9409,2021-12-26,5,17542,14841
box,4,3826,2021-10-16,2,40687,14650
identify,9,10555,2021-04-13,4,49368,11674
range,16,17175,2021-10-04,2,41691,17735
five,1,28731,2020-09-13,1,37915,12871
already,15,14544,2022-04-18,3,43913,10280
seat,4,6708,2022-03-15,1,22686,26938
thing,8,26873,2020-02-10,0,35209,25349
food,8,21190,2022-09-26,4,33385,14828
identify,6,29014,2024-06-08,3,23792,3511
go,11,7480,2023-07-08,1,12087,12614
dream,10,26150,2022-08-28,0,41973,15480
whom,1,5415,2023-09-06,2,7695,5390
behavior,5,13823,2020-02-29,3,37141,17180
night,7,13695,2022-04-17,3,6882,28693
hit,14,18837,2024-10-01,0,25454,18006
authority,7,28403,2023-05-16,1,5232,3588
computer,6,1054,2022-01-23,1,47955,27057
great,6,10969,2022-05-10,2,20492,6314
leg,4,381,2022-06-03,1,10932,25116
society,14,12334,2021-06-25,3,26653,5961
concern,7,434,2024-03-27,0,27855,16050
personal,14,2696,2020-06-04,2,8900,10227
clearly,5,12159,2021-11-10,5,17034,19282
than,4,5643,2020-12-07,2,43230,18099
top,16,3654,2023-08-01,2,45135,10733
hot,15,28181,2021-04-21,0,40308,18144
worry,2,4519,2022-11-11,5,11911,4340
ground,9,20820,2020-12-20,5,43356,15256
threat,12,21368,2022-03-30,1,38901,11666
sure,11,22038,2021-06-02,1,11315,28118
show,1,7685,2024-05-20,5,39734,22602
population,3,20433,2024-06-11,4,26887,12704
will,8,25020,2021-10-16,4,11548,20397
gun,4,4875,2024-02-05,3,34915,8801
tree,10,29932,2021-12-30,0,12366,23791
example,6,17871,2022-02-01,4,30922,2269
card,6,25721,2024-01-30,3,42256,21425
today,5,12245,2021-07-08,3,21970,17115
both,4,10601,2022-11-27,3,16652,11316
save,9,26310,2023-04-12,2,22594,17847
experience,13,6653,2020-08-18,2,29091,13081
accept,9,12825,2023-02-19,2,7829,10451
memory,12,2729,2022-12-27,1,30321,24426
budget,9,14827,2023-06-27,5,13998,24414
play,7,10621,2021-08-10,0,10759,2868
same,14,22755,2020-08-15,3,33515,17120
join,14,4202,2023-06-06,0,49242,12898
gas,8,20502,2024-07-01,5,45760,23085
question,2,23912,2020-09-21,1,24239,16412
accept,8,9265,2022-06-21,3,38625,12313
state,2,13828,2023-11-23,4,13777,23311
likely,2,25113,2020-10-05,0,39639,15839
analysis,6,8115,2020-04-18,0,28281,4236
speak,5,7682,2024-07-06,4,14339,15467
popular,13,19617,2020-12-08,4,11155,27412
reduce,13,26658,2020-09-12,3,46456,26931
ground,8,5562,2020-09-20,4,25671,17787
town,15,11489,2023-02-06,3,28484,17225
relationship,1,15107,2020-12-01,4,28489,12847
partner,5,16502,2024-03-07,5,31025,15478
manage,15,9881,2024-07-05,5,45884,24522
different,4,10857,2023-12-08,4,40529,13273
democratic,14,4773,2024-06-14,2,12996,10208
half,7,19325,2023-03-29,0,35375,28832
player,2,9165,2023-01-11,0,21596,24503
break,11,27753,2021-05-24,2,34575,7946
today,11,7302,2024-06-29,0,45907,29949
after,11,9706,2023-02-24,1,27514,6991
nothing,11,26648,2022-10-04,2,39800,17535
whose,15,17146,2023-06-29,1,26227,14422
be,12,18786,2020-05-03,4,34352,3714
simply,3,13318,2022-11-11,4,45090,13713
again,4,22428,2023-04-15,1,46655,1691
strategy,13,24920,2022-05-04,1,33101,23115
task,6,5659,2024-07-28,2,14620,28157
own,1,17377,2022-05-22,2,22673,23166
care,14,6753,2024-01-29,1,12258,1617
consumer,11,22725,2022-07-10,0,24259,15761
send,8,28543,2020-12-22,1,45679,1642
forget,2,25738,2020-11-15,4,5791,27678
manage,8,17285,2023-10-14,3,20091,14667
drive,14,1402,2023-05-31,4,41706,29790
energy,2,1287,2021-03-31,2,29455,12421
somebody,15,25910,2021-07-12,2,47295,20798
election,4,12476,2023-07-15,3,22989,14783
others,10,11717,2020-11-05,5,31205,17747
them,7,29366,2020-12-13,2,44498,3800
seek,8,13769,2023-07-29,4,47061,13515
song,13,27789,2023-03-09,0,17838,11969
say,8,29170,2021-04-11,0,6910,21719
surface,10,14379,2021-08-20,1,32590,25455
career,11,25754,2020-08-02,0,19823,116
pick,5,14652,2021-04-21,2,43367,21852
western,8,12504,2021-09-02,0,31199,15879
big,1,18583,2024-03-10,3,28921,17202
see,8,19971,2022-11-29,2,30817,13756
down,11,21218,2022-09-18,2,45409,27490
certainly,5,21786,2020-01-26,2,43331,12918
front,4,12474,2021-10-05,3,26122,2361
green,11,12172,2023-06-06,0,10442,7512
again,12,19303,2023-12-26,5,38509,25887
sing,1,17847,2021-09-17,4,47937,14731
sell,1,14397,2023-05-04,5,28805,7042
remain,16,18412,2021-05-28,0,37913,25970
move,5,20976,2023-04-14,0,5237,13916
pressure,12,3415,2023-11-13,3,16323,4204
finish,14,7527,2023-11-27,5,29315,19022
town,15,3526,2020-07-14,4,13420,28605
similar,2,9479,2021-02-19,5,41367,18104
may,1,26885,2020-07-05,0,22179,1945
turn,9,22456,2022-03-12,2,49879,29620
tend,8,22778,2023-05-22,1,37562,17709
plan,1,29604,2021-10-12,0,29531,23885
term,7,7732,2020-09-22,1,45298,7047
blood,9,14613,2020-11-18,4,43530,24326
watch,10,8557,2021-05-27,1,26220,21847
old,7,4676,2023-09-25,1,15218,5197
data,8,10632,2020-09-04,5,41236,20426
fire,13,26467,2021-08-31,3,29410,6843
wish,3,19743,2024-03-26,1,28873,19805
suggest,8,22491,2020-10-01,0,47606,943
decide,9,4754,2021-04-03,5,7193,14586
national,12,3477,2024-06-22,1,31142,18111
face,15,16609,2024-04-02,5,33994,28109
reason,15,1632,2024-01-03,4,10168,19308
seven,14,29747,2020-03-29,1,21022,21863
agreement,16,12739,2021-02-22,4,17966,10545
training,15,19616,2021-10-15,2,26041,3772
summer,8,8933,2024-09-27,2,43333,22600
base,8,25810,2020-07-30,3,38284,11848
only,15,28258,2023-12-14,0,48234,1097
system,15,7951,2021-07-13,4,24503,13266
vote,10,17413,2023-06-21,4,15953,27190
ready,7,19409,2024-10-21,0,16267,2895
keep,16,12718,2024-09-16,4,6762,13850
degree,15,22393,2023-09-05,4,39207,12031
commercial,6,29979,2023-05-17,3,35638,5208
sort,12,23380,2023-10-16,3,34228,18552
life,7,29654,2024-05-21,3,45671,12754
middle,1,2433,2021-10-14,4,42124,5540
low,8,4938,2021-05-03,0,18655,28853
candidate,3,21185,2023-07-21,1,22508,27533
imagine,6,15902,2020-09-10,3,27480,5652
size,15,23576,2022-04-01,1,42728,23524
standard,7,28450,2022-01-12,3,29377,20240
letter,10,24006,2021-08-28,0,20110,15346
a,8,7382,2022-02-24,3,19498,13124
reveal,3,2196,2021-02-20,0,25993,25785
prevent,14,12960,2023-12-28,3,20852,20721
what,15,7327,2023-05-25,2,38714,7911
former,6,14158,2023-02-05,2,35318,11608
lay,8,11909,2024-09-03,0,45269,9830
different,13,6362,2023-01-16,4,32080,22283
mother,14,15824,2023-12-27,3,29353,19828
art,5,15483,2023-01-16,0,6489,11098
week,10,18249,2022-02-16,3,41426,21046
later,6,11687,2020-03-23,5,46369,22538
plant,16,24045,2020-08-04,4,7158,3663
laugh,14,19341,2020-12-21,2,24452,8394
eight,11,12493,2021-11-28,3,18651,7824
describe,7,23560,2021-02-10,3,49056,21181
common,11,11166,2024-07-03,1,26654,17425
imagine,1,10122,2023-09-04,5,43635,19513
their,15,28521,2022-05-14,0,17156,24324
simple,9,23632,2020-11-24,4,23651,17336
environmental,3,1039,2022-07-20,2,23493,2902
himself,2,12192,2022-12-24,2,37406,7463
wind,2,14056,2020-11-19,4,11388,22660
lot,12,29146,2022-08-10,1,30891,10670
ready,1,15232,2020-06-14,5,15495,8927
cut,12,710,2020-06-02,1,37479,23682
summer,15,1490,2021-12-01,4,9229,6683
condition,4,17027,2020-12-02,0,13693,7847
relationship,9,26953,2021-02-16,4,37909,21584
fill,16,24196,2021-11-18,1,28337,16795
somebody,4,26828,2023-02-09,2,47413,25981
chance,13,25724,2022-06-27,2,47599,14177
sense,1,13680,2021-06-22,2,39015,3619
race,7,27829,2021-02-04,0,8615,2319
military,8,4220,2020-08-25,1,30357,18259
against,2,18538,2021-11-09,1,27251,25499
free,1,723,2020-05-02,2,40146,27775
kitchen,4,18211,2023-01-20,4,17984,23746
fund,7,19153,2023-11-05,0,25122,27699
admit,12,1842,2022-08-20,5,33478,17156
operation,6,16679,2023-01-17,3,44090,19864
local,16,5774,2023-11-05,2,17743,13216
nor,1,15628,2023-02-14,2,12402,11037
decide,8,22323,2020-06-01,1,9037,3329
green,16,6798,2020-04-07,4,28514,29067
mean,16,20529,2021-01-14,4,29442,12191
sell,7,25070,2021-03-20,1,11070,1489
partner,4,14601,2021-11-28,2,23393,10587
piece,11,4114,2023-08-16,3,14427,20705
reduce,9,11051,2020-08-10,2,38491,12849
everybody,13,7518,2022-12-17,5,14112,24078
under,14,14664,2021-02-14,2,34537,14370
or,4,8009,2021-05-08,2,29004,19433
draw,14,5398,2024-10-08,5,35174,26369
goal,15,1361,2024-04-13,1,23175,27316
grow,7,19151,2024-05-09,4,15349,27415
mission,5,18447,2022-11-28,5,25286,4827
these,7,9699,2024-09-01,5,49590,17509
even,11,25855,2024-08-01,2,5200,25259
evidence,5,14731,2022-03-06,1,20650,11080
media,9,16385,2022-02-10,0,6869,26127
well,6,2256,2024-05-17,3,16097,19430
music,10,17652,2020-04-18,5,44140,7002
able,3,20445,2021-08-11,4,37576,12184
once,6,4627,2021-04-02,3,25459,26672
system,15,24758,2022-08-17,0,8935,21227
decide,1,9333,2020-11-07,4,30337,8851
push,14,26812,2020-09-07,4,45054,28362
decide,7,19410,2024-04-17,2,24774,27013
bit,12,26937,2022-01-19,2,28639,21507
join,1,5963,2022-01-07,1,42137,15541
agency,6,14412,2021-07-01,4,49994,5595
mean,11,7418,2020-08-09,0,49253,12235
eye,16,9882,2023-06-17,4,13644,1755
onto,2,840,2023-04-01,4,49831,17084
lay,10,25678,2023-08-26,4,38582,26578
final,4,26199,2024-09-12,0,28794,19028
fire,6,1762,2023-06-20,3,38605,8500
pick,3,13050,2023-05-01,3,46659,22212
ready,10,23907,2021-02-19,0,40300,13101
likely,4,26783,2021-03-19,5,18278,7963
party,2,3262,2022-11-15,5,38064,9755
it,2,24635,2020-06-06,0,49994,12547
drop,16,12328,2020-04-22,5,10454,18587
religious,4,7524,2020-03-25,1,13484,8351
budget,5,24632,2023-08-14,4,49924,13832
speak,7,14457,2022-05-15,4,36628,29095
north,9,25045,2023-07-04,3,14722,16369
learn,8,6495,2021-07-13,2,14709,8222
return,14,29848,2024-09-18,3,24299,9239
bed,5,525,2022-03-07,4,18575,29831
citizen,2,3554,2020-10-25,5,8191,27628
sort,2,2681,2022-06-15,5,21205,17488
ago,8,28701,2020-01-12,2,39802,10141
better,16,27852,2023-04-23,2,30987,6928
same,16,14463,2024-09-26,5,6436,8553
spring,10,9612,2022-01-19,0,34057,6519
nature,14,21726,2023-01-06,0,24088,21796
animal,13,10133,2021-09-24,3,14755,16566
raise,4,14614,2021-10-05,5,46070,3134
federal,12,1034,2022-05-22,2,32246,14726
subject,11,28235,2020-09-15,2,41864,1960
national,8,16268,2022-12-21,3,21825,6588
popular,4,17703,2020-12-21,0,26484,28575
teacher,4,24035,2023-03-21,2,25482,11858
miss,10,17928,2022-05-12,0,6565,25039
begin,6,9561,2023-09-12,2,16861,14912
baby,8,1552,2021-09-11,4,35348,26273
office,2,3344,2022-11-16,3,7022,12241
teach,5,20774,2024-08-12,2,21646,24737
store,5,5867,2020-07-17,0,20839,29108
research,16,395,2022-07-18,5,30684,18779
enjoy,8,7262,2020-11-27,4,26419,29750
perhaps,2,8381,2024-07-09,3,17754,16883
forward,5,2258,2022-08-28,3,46230,10689
right,2,20314,2022-06-12,2,48700,10101
off,12,9109,2022-01-11,1,36308,16021
letter,9,521,2023-03-03,0,7908,17012
change,16,9424,2020-07-09,5,14298,15886
research,3,16869,2023-08-06,2,28983,23441
north,5,11462,2023-04-27,2,37083,12957
blood,1,2672,2021-11-30,5,43322,9577
one,12,18220,2022-03-06,3,42714,21173
just,13,5998,2021-06-22,0,24355,11916
provide,6,20953,2020-06-24,1,38950,21997
food,10,3132,2022-04-30,2,42374,14486
line,7,26961,2020-09-28,5,9502,20548
table,3,5887,2021-07-13,0,26436,9468
modern,9,25710,2024-03-30,3,27138,6862
official,10,5877,2023-10-15,3,10724,9756
structure,16,118,2021-02-15,5,36266,26715
more,12,4490,2020-11-10,5,38228,26056
minute,1,11549,2023-12-08,2,8386,20747
apply,4,18227,2024-08-30,3,27113,24020
hundred,15,5463,2020-04-28,1,34800,13308
consider,5,730,2020-01-04,3,23445,27655
bill,15,28076,2022-05-30,2,27498,22103
garden,14,6231,2021-05-14,0,17302,4006
point,15,16172,2023-11-22,2,15978,23291
evening,13,27331,2021-04-12,3,14617,14003
very,13,23537,2020-10-31,4,28882,23117
prepare,13,22051,2022-03-15,0,41614,25139
style,7,10852,2022-03-20,3,48373,17130
onto,10,10766,2022-08-24,1,7968,22987
effect,8,8890,2021-05-20,2,8329,4242
language,11,12727,2022-06-01,2,8710,20839
strong,9,19930,2024-01-13,1,30216,12605
think,3,7715,2022-03-14,0,28726,17080
assume,12,26242,2021-01-30,4,21171,358
house,8,19360,2024-09-12,5,7381,2670
require,1,17884,2023-11-26,1,47093,25737
method,5,28401,2024-04-22,1,17917,14452
describe,12,12783,2020-11-11,1,34569,5458
reason,14,8540,2024-08-19,1,9702,4398
full,15,24558,2021-11-29,4,10711,29122
put,9,21273,2023-04-12,5,21574,20316
maybe,5,19733,2020-06-04,2,42830,21426
both,9,25647,2021-03-26,3,20135,27206
ability,16,26396,2021-06-01,2,19023,20900
hand,5,10760,2023-11-18,4,7536,26636
away,14,9965,2024-10-22,4,33800,23808
feel,5,5899,2024-05-24,0,12346,28088
above,12,24054,2021-10-16,1,14245,21241
such,8,8204,2022-07-02,5,17982,16580
determine,5,29500,2023-11-18,4,27655,21061
take,13,27676,2021-08-04,4,25773,11820
theory,3,24239,2024-01-28,2,25632,29098
decide,7,18180,2020-08-13,5,20204,7048
sure,10,21864,2021-04-05,2,22539,18934
serious,5,27592,2022-04-17,0,15417,25813
affect,9,21605,2022-07-03,1,39174,24655
door,12,28555,2020-12-17,1,41265,6862
know,13,7486,2021-03-10,3,49992,15868
list,13,2825,2023-02-16,3,36592,17750
threat,15,8771,2024-07-19,2,30492,12234
recent,1,1847,2024-05-14,0,30100,29505
thought,5,20369,2021-02-11,4,43228,19335
face,8,3766,2023-10-12,0,34560,23610
after,1,25155,2022-02-09,3,13016,6707
during,4,14177,2020-04-14,0,28853,6443
late,13,22056,2022-05-31,0,6364,3290
open,7,20829,2022-08-17,3,20550,16152
can,7,26764,2020-11-22,5,7904,7351
health,14,20739,2021-06-20,2,43804,2490
area,13,1494,2023-12-17,0,31804,22405
she,4,22229,2024-01-27,1,49308,26559
especially,15,17487,2021-02-18,1,44045,28535
book,1,22345,2023-10-07,1,43964,25021
without,4,10605,2020-04-06,4,12557,16039
north,4,11794,2024-03-15,0,36423,27147
understand,12,23597,2023-12-08,3,19811,13281
continue,4,29224,2022-07-20,1,34078,27350
sea,7,28484,2024-02-04,3,13673,27183
nation,2,18195,2020-06-14,2,11089,2581
kitchen,5,22295,2022-08-05,0,15386,25120
cover,10,3087,2021-05-17,4,12353,28978
military,8,20294,2022-07-22,4,14673,22909
occur,7,19932,2024-04-15,5,32230,8172
today,15,482,2020-11-12,0,12874,5560
argue,3,18755,2023-05-04,2,9681,23820
game,6,22885,2020-07-12,0,43086,25732
main,1,8657,2021-01-13,3,36575,24269
return,8,14142,2020-01-06,3,42225,24967
guy,14,17427,2024-06-27,5,26297,13181
sing,7,25482,2020-11-19,0,10690,11069
subject,1,26089,2024-09-13,2,21555,23514
always,4,28621,2020-12-04,1,39557,8788
read,3,24082,2024-09-14,0,29871,23475
pretty,12,9147,2024-08-31,1,9563,207
but,15,17698,2021-05-07,5,46633,19766
name,16,7489,2024-09-17,3,32511,17223
material,11,28358,2024-03-04,3,42208,21505
have,13,16447,2021-10-16,3,17373,9210
people,11,19323,2020-03-03,2,23172,18318
third,2,10857,2024-04-09,3,36944,28679
whole,6,2171,2023-09-07,4,17843,20378
ball,16,5681,2021-10-28,3,38339,28468
water,11,17680,2021-12-20,0,27181,5838
peace,3,11776,2022-08-25,1,48889,3474
would,4,6672,2020-11-21,3,39022,25346
city,5,22214,2024-05-08,3,21407,28777
president,15,21439,2022-01-14,3,42230,20960
fund,11,12660,2021-08-19,4,29714,14204
quickly,8,2812,2020-01-24,4,23651,26856
six,16,16228,2020-10-14,1,14599,9702
black,6,4988,2021-06-19,3,25871,20966
adult,14,21849,2023-05-10,5,38274,27433
whether,5,638,2024-10-08,5,47005,3744
executive,8,8337,2020-05-18,0,46473,24056
magazine,3,6002,2021-05-28,4,11946,6591
bill,6,12630,2020-04-29,3,25172,12482
role,16,28449,2021-07-09,2,15847,2778
wonder,9,15073,2022-02-11,0,6770,26650
already,12,2658,2021-09-18,0,7101,3396
just,8,15509,2024-09-13,1,10614,16446
beyond,8,5578,2024-09-01,5,48478,9249
we,6,9193,2024-02-18,2,22984,29569
us,3,27813,2024-02-06,5,40978,22039
your,4,20166,2023-05-06,0,12394,14990
base,12,2777,2020-03-20,0,13919,27966
tend,6,20168,2023-09-30,1,43809,8008
scene,10,21774,2022-08-21,3,49619,2947
you,11,1835,2021-10-04,3,5163,27856
student,6,27322,2024-09-16,4,29637,608
she,9,29342,2020-04-06,3,45593,12216
dinner,3,16626,2024-06-01,1,38584,20426
yourself,6,6053,2020-06-04,2,48614,23619
work,4,18548,2020-04-14,3,29549,18001
eat,12,12408,2022-12-08,1,27120,16571
decade,4,8030,2024-07-31,3,30809,22697
sign,6,27395,2024-03-21,3,8772,14112
knowledge,10,19379,2023-05-06,0,28026,22507
step,16,22765,2021-08-29,2,45955,22940
ability,16,2149,2021-03-28,3,27895,14199
able,14,2038,2022-12-16,5,10750,15254
probably,6,10078,2020-06-20,4,13488,14667
appear,2,25976,2023-02-11,2,19178,22185
go,12,20724,2024-04-11,3,18530,8239
do,4,2686,2020-04-22,0,41174,13496
country,15,29970,2024-06-12,5,15229,11871
data,7,13012,2022-05-13,0,42919,5223
popular,16,20726,2020-03-16,5,36464,14409
prevent,12,12782,2023-12-21,5,10757,24258
kid,9,765,2022-01-15,1,37753,1682
view,9,17607,2022-07-22,5,45637,6310
election,6,24391,2021-08-24,2,46170,2566
consumer,10,623,2020-04-21,3,41126,23400
whose,6,5938,2020-09-16,4,28062,623
and,15,13857,2020-10-16,5,10563,4822
place,11,11474,2023-06-22,2,18785,4718
their,11,9936,2021-01-12,3,8584,11175
town,10,25319,2021-06-26,5,48317,19680
article,9,20757,2023-06-06,5,15936,3174
husband,11,4903,2021-05-03,0,12577,3019
network,1,6492,2024-06-23,2,17534,9477
art,5,20949,2020-07-01,0,14863,14514
avoid,14,27353,2023-07-16,5,19155,17544
under,16,20951,2023-05-08,2,38865,8860
here,9,24674,2021-01-29,5,6023,13512
positive,11,1534,2022-11-10,0,13070,15169
government,3,12500,2021-02-20,1,5598,26124
win,11,6894,2024-10-06,4,27317,2035
wish,16,21526,2024-07-04,0,24654,18221
five,16,6524,2020-06-20,3,48101,23800
good,10,19286,2021-04-01,1,33757,20712
politics,13,7036,2020-06-19,1,5067,24794
future,3,17702,2023-11-18,1,17319,17105
sense,7,10555,2020-08-30,4,7812,15962
life,11,12078,2020-01-14,0,20044,3631
ever,12,10462,2022-12-13,3,26052,4044
small,2,16823,2023-10-12,0,45527,701
good,13,4879,2023-08-31,2,45680,26520
inside,11,21934,2021-03-02,0,41993,7655
prove,10,13992,2022-07-15,4,32115,23559
prove,10,15406,2021-11-18,5,13291,15190
final,15,20969,2024-10-12,3,41157,23957
must,16,7211,2021-06-05,0,7729,16471
actually,3,7374,2023-02-15,0,11068,4280
affect,16,2920,2024-03-03,0,47194,17807
us,14,21739,2023-09-22,0,19591,19467
speech,10,11757,2020-06-26,0,28812,19609
reduce,6,17739,2020-07-05,4,40595,21359
show,13,1399,2023-11-25,4,12272,23716
question,12,15636,2022-11-30,2,18153,162
father,11,29675,2023-05-12,3,43165,14505
message,7,12245,2021-12-15,5,35836,19015
also,2,23502,2023-10-06,2,30398,1484
situation,4,1103,2021-06-30,1,10617,29733
democratic,9,10457,2020-05-20,3,9405,3148
close,9,4916,2022-03-05,0,35345,19191
collection,1,241,2023-03-17,2,16608,27883
contain,9,12838,2023-04-02,4,15584,2297
where,9,28060,2023-04-19,2,23658,6632
employee,1,1720,2022-06-23,1,39432,25367
knowledge,2,3634,2021-10-20,2,40713,12267
head,1,22469,2022-01-17,3,12708,6107
short,12,20979,2022-08-27,5,37401,5321
offer,9,27458,2021-10-15,3,18479,11489
specific,1,20417,2024-09-08,4,32374,7369
technology,2,25181,2022-09-01,3,13540,865
court,2,11536,2021-04-30,2,15361,24321
paper,4,24057,2021-04-27,1,26689,11401
success,13,12290,2020-01-19,3,7458,22821
still,6,7084,2022-12-29,1,37213,22798
become,1,23132,2022-05-12,5,45835,2115
help,2,22987,2024-05-11,3,43356,25661
trial,7,22462,2020-03-08,1,32150,14123
art,14,23378,2020-08-10,1,37829,16242
cultural,13,28361,2022-05-21,4,11947,28047
coach,8,8013,2024-10-10,3,11545,15714
religious,9,15937,2023-05-16,1,35569,1192
ask,10,13993,2021-09-18,5,44075,7327
pretty,14,17963,2022-06-20,1,19913,17035
inside,8,18290,2022-08-26,4,30732,26553
office,3,8250,2021-05-21,5,9850,5676
cause,7,14075,2023-01-04,1,49508,1898
throw,8,4576,2022-11-10,3,12646,28919
yard,12,15064,2022-06-13,5,28669,10750
without,5,12141,2020-01-12,1,37868,1302
base,5,14676,2022-06-19,5,31421,29053
along,4,2064,2020-05-11,0,5988,5847
learn,12,5349,2021-08-28,1,7002,27171
throughout,15,20726,2021-02-14,0,39848,8230
from,13,10532,2023-05-17,1,17247,13008
involve,10,21972,2023-08-26,2,25068,2210
what,6,26165,2020-06-02,1,30814,20926
religious,15,26559,2023-03-17,0,32491,17059
wonder,10,8753,2024-08-24,4,44024,17240
example,7,3286,2024-10-03,3,37268,26822
into,4,693,2024-03-09,2,32624,12389
major,14,26392,2021-03-03,4,46501,29813
be,15,1282,2022-09-29,1,17565,1002
high,4,11626,2022-05-30,2,6928,6240
run,14,15272,2020-05-01,0,47858,27245
hair,2,12662,2023-05-06,4,40341,19284
talk,8,6890,2021-12-16,4,23616,28270
cell,9,19795,2020-11-07,4,25855,1024
tell,7,16692,2022-03-27,3,43740,12731
beyond,4,24992,2020-04-28,4,20223,21756
